Date,Clicks,Impressions,CTR,Position
2026-08-23,34,1214,2.8%,8.5
2026-08-24,46,1126,4.09%,9.9
2026-08-25,47,1186,3.96%,10.9
2026-08-26,49,1286,3.81%,17.2
2026-08-27,37,1250,2.96%,14.8
2026-08-28,44,1014,4.34%,10.9
2026-08-29,45,994,4.53%,13
2026-08-30,44,1037,4.24%,11.5
2026-08-31,62,1114,5.57%,11.2
2026-09-01,50,1233,4.06%,8.9
2026-09-02,67,1372,4.88%,14.3
2026-09-03,63,1402,4.49%,12.3
2026-09-04,46,1306,3.52%,9
2026-09-05,80,1569,5.1%,9.9
2026-09-06,72,1559,4.62%,8.1
2026-09-07,90,1886,4.77%,9.4
2026-09-08,101,1958,5.16%,11.3
2026-09-09,116,2149,5.4%,12
2026-09-10,126,1948,6.47%,9.9
2026-09-11,105,1658,6.33%,8
2026-09-12,109,1787,6.1%,9.7
2026-09-13,113,1804,6.26%,11.4
2026-09-14,107,1670,6.41%,8
2026-09-15,84,1534,5.48%,8.6
2026-09-16,88,1782,4.94%,11.9
2026-09-17,84,1374,6.11%,9.7
2026-09-18,100,1217,8.22%,8.1
2026-09-19,94,1471,6.39%,8.9
