Country,Clicks,Impressions,CTR,Position
Tunisia,2029,32987,6.15%,9.7
France,19,1080,1.76%,25.2
Italy,6,168,3.57%,8.7
Algeria,4,449,0.89%,24.94
Switzerland,4,59,6.78%,13.54
Iran,4,13,30.77%,4.92
Germany,3,282,1.06%,7.64
Syria,2,1282,0.16%,6.41
United States,2,889,0.22%,8.57
United Kingdom,2,420,0.48%,8.45
Morocco,2,407,0.49%,13.75
Belgium,2,161,1.24%,6.25
Yemen,2,96,2.08%,6.92
India,2,93,2.15%,38.04
Qatar,2,70,2.86%,7.79
Spain,2,70,2.86%,12.23
Libya,2,47,4.26%,6.49
Sweden,2,29,6.9%,7.45
Netherlands,1,186,0.54%,6.74
Canada,1,186,0.54%,14.84
Saudi Arabia,1,114,0.88%,35.1
United Arab Emirates,1,103,0.97%,12.07
Turkey,1,60,1.67%,15.38
Haiti,1,31,3.23%,13.19
Malaysia,1,25,4%,49.2
Côte d’Ivoire,1,23,4.35%,9.26
Poland,1,19,5.26%,10.16
Nigeria,1,8,12.5%,21.38
Bulgaria,1,4,25%,6.5
Rwanda,1,3,33.33%,10.33
Egypt,0,207,0%,10.66
Lebanon,0,101,0%,9.5
Iraq,0,82,0%,9.39
Israel,0,72,0%,10.94
Jordan,0,64,0%,12
Senegal,0,49,0%,12.84
Vietnam,0,48,0%,35.08
Philippines,0,42,0%,43.19
Bahrain,0,38,0%,9.5
Indonesia,0,38,0%,36.5
South Korea,0,36,0%,18.67
Sudan,0,35,0%,6.69
Thailand,0,35,0%,27.94
Brazil,0,30,0%,15.43
Congo - Kinshasa,0,29,0%,8.66
Palestine,0,27,0%,8
Cameroon,0,27,0%,11.67
Bangladesh,0,26,0%,47.27
Australia,0,25,0%,10.44
Russia,0,23,0%,11.83
Kuwait,0,22,0%,8.55
Austria,0,21,0%,13.14
Mexico,0,20,0%,36.4
Mauritania,0,19,0%,5.79
Czechia,0,18,0%,4.94
Japan,0,18,0%,5.72
Oman,0,18,0%,10.06
Madagascar,0,17,0%,8.94
Benin,0,15,0%,6.8
Peru,0,15,0%,27
Romania,0,15,0%,50.53
Niger,0,13,0%,5.77
Mali,0,11,0%,6.27
Argentina,0,11,0%,32.64
Hong Kong,0,10,0%,6.5
China,0,10,0%,10.4
Greece,0,10,0%,13.3
Togo,0,9,0%,7.11
Portugal,0,9,0%,8.33
Guinea,0,9,0%,8.56
Denmark,0,9,0%,12.22
Ireland,0,9,0%,28.33
Chile,0,8,0%,15.5
Burkina Faso,0,7,0%,14.14
Dominican Republic,0,7,0%,18.57
Ethiopia,0,6,0%,13.83
Finland,0,6,0%,15.83
Ukraine,0,6,0%,20
Ecuador,0,6,0%,22.17
Taiwan,0,6,0%,22.33
Norway,0,6,0%,24.17
Réunion,0,5,0%,9.6
Singapore,0,5,0%,13
Colombia,0,5,0%,26.2
Venezuela,0,4,0%,6.5
Luxembourg,0,4,0%,6.75
Lithuania,0,4,0%,7.25
Cyprus,0,4,0%,8.5
Martinique,0,4,0%,10.25
Bolivia,0,4,0%,10.5
Cambodia,0,4,0%,19
Malta,0,4,0%,20.75
Angola,0,4,0%,30.5
Costa Rica,0,4,0%,37.75
Hungary,0,3,0%,2.33
Paraguay,0,3,0%,5.33
French Guiana,0,3,0%,6
Serbia,0,3,0%,8
Slovakia,0,3,0%,8.67
Congo - Brazzaville,0,3,0%,10.33
Kenya,0,3,0%,25
Monaco,0,3,0%,25.33
Pakistan,0,3,0%,49
Mongolia,0,2,0%,2
Gabon,0,2,0%,2.5
Georgia,0,2,0%,2.5
South Sudan,0,2,0%,4
Equatorial Guinea,0,2,0%,6
Tajikistan,0,2,0%,6
Bosnia & Herzegovina,0,2,0%,7
Comoros,0,2,0%,7.5
Somalia,0,2,0%,8.5
Mayotte,0,2,0%,9
Mauritius,0,2,0%,10.5
Chad,0,2,0%,11
Estonia,0,2,0%,19
Kazakhstan,0,2,0%,20
Djibouti,0,1,0%,1
South Africa,0,1,0%,1
Honduras,0,1,0%,2
Malawi,0,1,0%,3
Andorra,0,1,0%,4
French Polynesia,0,1,0%,5
Bahamas,0,1,0%,6
Curaçao,0,1,0%,6
Gambia,0,1,0%,6
Croatia,0,1,0%,6
Western Sahara,0,1,0%,7
Kyrgyzstan,0,1,0%,7
New Caledonia,0,1,0%,7
Uganda,0,1,0%,7
Afghanistan,0,1,0%,9
Burundi,0,1,0%,9
Central African Republic,0,1,0%,10
Mozambique,0,1,0%,10
Guadeloupe,0,1,0%,11
New Zealand,0,1,0%,11
Unknown Region,0,1,0%,12
Uzbekistan,0,1,0%,47
Azerbaijan,0,1,0%,57
Moldova,0,1,0%,57
St. Lucia,0,1,0%,67
Iceland,0,1,0%,80
