Date,Clicks,Impressions,CTR,Position
2026-06-20,40,981,4.08%,10.8
2026-06-21,48,1049,4.58%,8.5
2026-06-22,61,1406,4.34%,9.2
2026-06-23,53,1630,3.25%,9
2026-06-24,78,1700,4.59%,12.7
2026-06-25,58,1667,3.48%,11.4
2026-06-26,60,1383,4.34%,9.4
2026-06-27,56,1552,3.61%,12.3
2026-06-28,55,1265,4.35%,9.1
2026-06-29,59,1414,4.17%,8.7
2026-06-30,61,1416,4.31%,10.5
2026-07-01,71,1875,3.79%,15.3
2026-07-02,59,1606,3.67%,10.6
2026-07-03,53,1449,3.66%,9.2
2026-07-04,58,1460,3.97%,9.7
2026-07-05,46,1401,3.28%,8.8
2026-07-06,67,1400,4.79%,9.1
2026-07-07,75,1493,5.02%,9.8
2026-07-08,81,1688,4.8%,13.2
2026-07-09,54,1448,3.73%,12.3
2026-07-10,65,1289,5.04%,9.8
2026-07-11,52,1464,3.55%,11.5
2026-07-12,63,1267,4.97%,10.5
2026-07-13,70,1578,4.44%,9.6
2026-07-14,57,1238,4.6%,10.5
2026-07-15,38,1322,2.87%,16.1
2026-07-16,34,1163,2.92%,13.1
2026-07-17,41,1039,3.95%,10.1
2026-07-18,29,1073,2.7%,10.3
2026-07-19,28,955,2.93%,9.1
2026-07-20,36,1108,3.25%,9.2
2026-07-21,28,1030,2.72%,9.4
2026-07-22,26,1255,2.07%,12.5
2026-07-23,28,999,2.8%,11.1
2026-07-24,35,1303,2.69%,9.5
2026-07-25,35,1247,2.81%,10.1
2026-07-26,32,1118,2.86%,9.6
2026-07-27,35,1296,2.7%,9.8
2026-07-28,52,1311,3.97%,11.4
2026-07-29,40,2756,1.45%,25.5
2026-07-30,41,1326,3.09%,12.9
2026-07-31,41,1139,3.6%,10.2
2026-08-01,47,1224,3.84%,10.5
2026-08-02,38,1321,2.88%,12
2026-08-03,39,1362,2.86%,9
2026-08-04,55,1296,4.24%,8.9
2026-08-05,39,1377,2.83%,13.1
2026-08-06,38,1152,3.3%,13.8
2026-08-07,43,937,4.59%,10.6
2026-08-08,35,1091,3.21%,9.4
2026-08-09,42,1029,4.08%,9.7
2026-08-10,38,1126,3.37%,9.4
2026-08-11,31,1127,2.75%,8.8
2026-08-12,48,1350,3.56%,14.5
2026-08-13,52,1421,3.66%,12.6
2026-08-14,54,1159,4.66%,10.7
2026-08-15,47,1320,3.56%,11.2
2026-08-16,47,1196,3.93%,10.3
2026-08-17,48,1240,3.87%,9.3
2026-08-18,52,1264,4.11%,9.4
2026-08-19,49,1448,3.38%,14.3
2026-08-20,65,1297,5.01%,12
2026-08-21,41,1208,3.39%,9.5
2026-08-22,65,1243,5.23%,11.5
2026-08-23,34,1214,2.8%,8.5
2026-08-24,46,1126,4.09%,9.9
2026-08-25,47,1186,3.96%,10.9
2026-08-26,49,1286,3.81%,17.2
2026-08-27,37,1250,2.96%,14.8
2026-08-28,44,1014,4.34%,10.9
2026-08-29,45,994,4.53%,13
2026-08-30,44,1037,4.24%,11.5
2026-08-31,62,1114,5.57%,11.2
2026-09-01,50,1233,4.06%,8.9
2026-09-02,67,1372,4.88%,14.3
2026-09-03,63,1402,4.49%,12.3
2026-09-04,46,1306,3.52%,9
2026-09-05,80,1569,5.1%,9.9
2026-09-06,72,1559,4.62%,8.1
2026-09-07,90,1886,4.77%,9.4
2026-09-08,101,1958,5.16%,11.3
2026-09-09,116,2149,5.4%,12
2026-09-10,126,1948,6.47%,9.9
2026-09-11,105,1658,6.33%,8
2026-09-12,109,1787,6.1%,9.7
2026-09-13,113,1804,6.26%,11.4
2026-09-14,107,1670,6.41%,8
2026-09-15,84,1534,5.48%,8.6
2026-09-16,88,1782,4.94%,11.9
2026-09-17,84,1374,6.11%,9.7
2026-09-18,100,1217,8.22%,8.1
2026-09-19,94,1471,6.39%,8.9
