Country,Clicks,Impressions,CTR,Position
Tunisia,4926,100250,4.91%,10.28
France,68,3550,1.92%,20.37
Germany,20,995,2.01%,7.95
Algeria,18,1445,1.25%,21.53
Morocco,17,1275,1.33%,15.33
Italy,16,428,3.74%,8.63
Canada,10,741,1.35%,17.42
Syria,9,4015,0.22%,6.96
United Arab Emirates,9,372,2.42%,15.76
Belgium,8,443,1.81%,11.65
Spain,8,276,2.9%,14.2
Netherlands,7,689,1.02%,8.66
Libya,7,152,4.61%,7.51
United Kingdom,6,1161,0.52%,8.58
Saudi Arabia,6,469,1.28%,29.66
India,6,300,2%,29.83
Switzerland,5,167,2.99%,14.21
Iran,5,42,11.9%,6.6
Iraq,4,295,1.36%,9.99
Qatar,4,241,1.66%,8.31
United States,3,2180,0.14%,10.72
Egypt,3,734,0.41%,11.91
Turkey,3,259,1.16%,17.9
Senegal,3,129,2.33%,14.48
Poland,3,64,4.69%,13.36
Romania,3,41,7.32%,30.46
Mali,3,22,13.64%,6.91
Yemen,2,311,0.64%,7.2
Sweden,2,107,1.87%,8.18
Côte d’Ivoire,2,79,2.53%,19.01
Nigeria,2,28,7.14%,39.11
Lebanon,1,378,0.26%,9.24
Israel,1,215,0.47%,10.52
Malaysia,1,124,0.81%,31.27
Haiti,1,122,0.82%,12.64
Russia,1,111,0.9%,26.11
Mexico,1,96,1.04%,23.67
South Korea,1,95,1.05%,19.52
Kuwait,1,77,1.3%,10.84
Cameroon,1,62,1.61%,11.08
Austria,1,58,1.72%,10.59
Japan,1,44,2.27%,9.95
China,1,44,2.27%,11.11
Pakistan,1,42,2.38%,25.14
Congo - Brazzaville,1,24,4.17%,8.33
Denmark,1,24,4.17%,12.21
Ethiopia,1,20,5%,12.4
Hungary,1,17,5.88%,21.41
Malta,1,16,6.25%,14.5
Bulgaria,1,13,7.69%,8.69
Gabon,1,12,8.33%,4.5
Lithuania,1,6,16.67%,10.67
Rwanda,1,6,16.67%,17.67
Estonia,1,5,20%,10
Honduras,1,4,25%,5.25
Guadeloupe,1,2,50%,8.5
Iceland,1,2,50%,40.5
Gibraltar,1,1,100%,2
Jordan,0,282,0%,15.1
Vietnam,0,254,0%,27.06
Indonesia,0,155,0%,31.67
Bahrain,0,134,0%,9.98
Brazil,0,132,0%,14.58
Philippines,0,123,0%,38.95
Sudan,0,122,0%,7.73
Thailand,0,104,0%,30.3
Palestine,0,78,0%,8.79
Bangladesh,0,76,0%,35.42
Australia,0,64,0%,10.94
Congo - Kinshasa,0,55,0%,7.78
Oman,0,54,0%,9.98
Ukraine,0,51,0%,27.47
Greece,0,49,0%,15.61
Mauritania,0,45,0%,6.44
Madagascar,0,44,0%,8.59
Colombia,0,43,0%,15.6
Hong Kong,0,40,0%,7.42
Portugal,0,40,0%,10.12
Czechia,0,40,0%,15.03
Norway,0,39,0%,18.1
Argentina,0,39,0%,20.05
Peru,0,33,0%,20.36
Benin,0,29,0%,10.69
Chile,0,23,0%,13.65
Burkina Faso,0,22,0%,11.41
Ecuador,0,22,0%,17.23
Ireland,0,22,0%,18.23
Niger,0,21,0%,6.24
Dominican Republic,0,21,0%,14.14
South Africa,0,19,0%,13.11
Mauritius,0,19,0%,15.84
Singapore,0,18,0%,9.83
Serbia,0,18,0%,15.67
Djibouti,0,17,0%,4.94
Togo,0,17,0%,7.88
Guinea,0,17,0%,10.76
Angola,0,17,0%,22
Cyprus,0,15,0%,8.07
Paraguay,0,15,0%,10.33
Luxembourg,0,15,0%,20.4
Venezuela,0,14,0%,10.64
Taiwan,0,14,0%,20.21
Finland,0,13,0%,12.46
Martinique,0,12,0%,10.17
Réunion,0,11,0%,8.27
Western Sahara,0,10,0%,7.2
Albania,0,10,0%,8.9
Monaco,0,10,0%,29.8
Ghana,0,9,0%,10.56
Kazakhstan,0,8,0%,16.12
Bolivia,0,8,0%,17.25
Belarus,0,8,0%,24.88
Kenya,0,8,0%,28.62
South Sudan,0,7,0%,8.57
Guatemala,0,7,0%,17.57
New Zealand,0,7,0%,21.14
Costa Rica,0,7,0%,25.43
Latvia,0,7,0%,46.57
Croatia,0,6,0%,5.17
Somalia,0,6,0%,5.83
Chad,0,6,0%,7
Slovakia,0,5,0%,7.8
Central African Republic,0,5,0%,8
New Caledonia,0,5,0%,8.4
Cambodia,0,5,0%,16.6
Moldova,0,5,0%,17.4
Georgia,0,5,0%,26.6
Uzbekistan,0,5,0%,30.4
Burundi,0,4,0%,6.25
Sint Maarten,0,4,0%,7.5
Uganda,0,4,0%,17.25
Bosnia & Herzegovina,0,4,0%,20.5
Jamaica,0,4,0%,27
Azerbaijan,0,4,0%,36.75
French Guiana,0,3,0%,6
Macedonia,0,3,0%,6.33
Mozambique,0,3,0%,6.33
Kyrgyzstan,0,3,0%,6.67
Comoros,0,3,0%,8.67
Unknown Region,0,3,0%,18.67
Armenia,0,3,0%,20.33
Sri Lanka,0,3,0%,23.33
Mongolia,0,3,0%,24
Afghanistan,0,3,0%,29.67
Swaziland,0,2,0%,1
French Polynesia,0,2,0%,4.5
Equatorial Guinea,0,2,0%,6
Tajikistan,0,2,0%,6
Gambia,0,2,0%,7.5
Bahamas,0,2,0%,8
Kosovo,0,2,0%,8.5
Guinea-Bissau,0,2,0%,9
Mayotte,0,2,0%,9
Puerto Rico,0,2,0%,10
Myanmar (Burma),0,2,0%,24
Tanzania,0,2,0%,30.5
Andorra,0,2,0%,32
El Salvador,0,2,0%,50.5
Cuba,0,1,0%,1
Nepal,0,1,0%,1
Malawi,0,1,0%,3
Fiji,0,1,0%,5
Guernsey,0,1,0%,5
Liberia,0,1,0%,5
Panama,0,1,0%,5
Antigua & Barbuda,0,1,0%,6
Curaçao,0,1,0%,6
Trinidad & Tobago,0,1,0%,7
Vanuatu,0,1,0%,7
Maldives,0,1,0%,10
Uruguay,0,1,0%,16
Slovenia,0,1,0%,33
St. Vincent & Grenadines,0,1,0%,46
Zimbabwe,0,1,0%,50
St. Lucia,0,1,0%,67
Belize,0,1,0%,69
Barbados,0,1,0%,83
