Date,Clicks,Impressions,CTR,Position
2026-04-30,49,895,5.47%,11.1
2026-05-01,52,820,6.34%,11.2
2026-05-02,46,944,4.87%,14.7
2026-05-03,65,952,6.83%,11.1
2026-05-04,56,970,5.77%,12.1
2026-05-05,58,1025,5.66%,9.6
2026-05-06,66,1087,6.07%,10.2
2026-05-07,83,1125,7.38%,10.9
2026-05-08,53,1100,4.82%,10.2
2026-05-09,65,1165,5.58%,10.7
2026-05-10,63,1133,5.56%,11.4
2026-05-11,66,1425,4.63%,11.4
2026-05-12,75,1416,5.3%,10.8
2026-05-13,61,1620,3.77%,13.5
2026-05-14,64,1450,4.41%,13.8
2026-05-15,65,1355,4.8%,10
2026-05-16,56,1398,4.01%,10.9
2026-05-17,60,1470,4.08%,8.8
2026-05-18,80,1674,4.78%,9.5
2026-05-19,67,1384,4.84%,10.8
2026-05-20,49,1434,3.42%,17.1
2026-05-21,71,1222,5.81%,11.8
2026-05-22,55,1173,4.69%,9.9
2026-05-23,60,1324,4.53%,10.9
2026-05-24,64,1137,5.63%,9.1
2026-05-25,55,1213,4.53%,11.1
2026-05-26,35,894,3.91%,11.2
2026-05-27,41,896,4.58%,18.5
2026-05-28,44,873,5.04%,15.9
2026-05-29,49,920,5.33%,10.2
2026-05-30,42,828,5.07%,12.2
2026-05-31,46,861,5.34%,10.2
2026-06-01,45,1051,4.28%,13.6
2026-06-02,54,941,5.74%,10.3
2026-06-03,45,1012,4.45%,15.9
2026-06-04,48,1032,4.65%,12
2026-06-05,27,842,3.21%,9.9
2026-06-06,41,898,4.57%,11.6
2026-06-07,55,1000,5.5%,9.8
2026-06-08,48,966,4.97%,9.9
2026-06-09,54,1005,5.37%,9.8
2026-06-10,46,1207,3.81%,14.4
2026-06-11,57,1119,5.09%,11.4
2026-06-12,62,1017,6.1%,9.9
2026-06-13,51,1030,4.95%,10.8
2026-06-14,47,930,5.05%,9.9
2026-06-15,47,914,5.14%,10.5
2026-06-16,66,1055,6.26%,11.1
2026-06-17,61,1305,4.67%,14.7
2026-06-18,56,1180,4.75%,11.5
2026-06-19,52,1203,4.32%,9.7
2026-06-20,40,981,4.08%,10.8
2026-06-21,48,1049,4.58%,8.5
2026-06-22,61,1406,4.34%,9.2
2026-06-23,53,1630,3.25%,9
2026-06-24,78,1700,4.59%,12.7
2026-06-25,58,1667,3.48%,11.4
2026-06-26,60,1383,4.34%,9.4
2026-06-27,56,1552,3.61%,12.3
2026-06-28,55,1265,4.35%,9.1
2026-06-29,59,1414,4.17%,8.7
2026-06-30,61,1416,4.31%,10.5
2026-07-01,71,1875,3.79%,15.3
2026-07-02,59,1606,3.67%,10.6
2026-07-03,53,1449,3.66%,9.2
2026-07-04,58,1460,3.97%,9.7
2026-07-05,46,1401,3.28%,8.8
2026-07-06,67,1400,4.79%,9.1
2026-07-07,75,1493,5.02%,9.8
2026-07-08,81,1688,4.8%,13.2
2026-07-09,54,1448,3.73%,12.3
2026-07-10,65,1289,5.04%,9.8
2026-07-11,52,1464,3.55%,11.5
2026-07-12,63,1267,4.97%,10.5
2026-07-13,70,1578,4.44%,9.6
2026-07-14,57,1238,4.6%,10.5
2026-07-15,38,1322,2.87%,16.1
2026-07-16,34,1163,2.92%,13.1
2026-07-17,41,1039,3.95%,10.1
2026-07-18,29,1073,2.7%,10.3
2026-07-19,28,955,2.93%,9.1
2026-07-20,36,1108,3.25%,9.2
2026-07-21,28,1030,2.72%,9.4
2026-07-22,26,1255,2.07%,12.5
2026-07-23,28,999,2.8%,11.1
2026-07-24,35,1303,2.69%,9.5
2026-07-25,35,1247,2.81%,10.1
2026-07-26,32,1118,2.86%,9.6
2026-07-27,35,1296,2.7%,9.8
2026-07-28,52,1311,3.97%,11.4
2026-07-29,40,2756,1.45%,25.5
