Country,Clicks,Impressions,CTR,Position
Tunisia,4531,89463,5.06%,10.41
France,74,4656,1.59%,21.73
Germany,28,821,3.41%,8.1
Algeria,23,1057,2.18%,16.61
Canada,17,1072,1.59%,23.9
Italy,14,360,3.89%,8.77
Morocco,13,1107,1.17%,13.06
Belgium,11,405,2.72%,15.66
United Arab Emirates,9,319,2.82%,20.51
Spain,8,243,3.29%,16.59
Netherlands,7,445,1.57%,10.6
Saudi Arabia,7,369,1.9%,29.65
Qatar,7,168,4.17%,8.48
Libya,7,123,5.69%,9.88
United Kingdom,6,359,1.67%,13.48
Iraq,6,213,2.82%,10.6
Egypt,5,554,0.9%,15.32
Syria,4,2564,0.16%,7.59
United States,4,2497,0.16%,11.57
India,4,312,1.28%,25.62
Congo - Brazzaville,4,23,17.39%,6.22
Poland,3,56,5.36%,10.8
Romania,3,39,7.69%,21.9
Denmark,3,19,15.79%,11.21
Mali,3,18,16.67%,6.44
Brunei,3,5,60%,4.6
Switzerland,2,210,0.95%,14.86
China,2,118,1.69%,11.58
Russia,2,90,2.22%,33.12
Austria,2,62,3.23%,9.97
Ukraine,2,59,3.39%,31.2
Iran,2,42,4.76%,7.05
Portugal,2,41,4.88%,14.2
Lebanon,1,334,0.3%,10.43
Vietnam,1,199,0.5%,23.59
Turkey,1,189,0.53%,14.87
Israel,1,148,0.68%,13.62
Senegal,1,110,0.91%,18.88
Mexico,1,90,1.11%,16.88
Kuwait,1,68,1.47%,14.25
Congo - Kinshasa,1,51,1.96%,13.22
Madagascar,1,49,2.04%,9.43
Pakistan,1,45,2.22%,20.58
South Korea,1,44,2.27%,23
Cameroon,1,43,2.33%,17.09
Oman,1,38,2.63%,9.76
Mauritania,1,35,2.86%,6.71
Hungary,1,32,3.12%,24.62
Guinea,1,13,7.69%,10.77
Malta,1,12,8.33%,11.33
Réunion,1,7,14.29%,6.86
Estonia,1,5,20%,3.6
Iceland,1,5,20%,28.8
Guadeloupe,1,4,25%,5
Honduras,1,3,33.33%,6.33
Yemen,0,221,0%,8.05
Jordan,0,209,0%,13.33
Brazil,0,164,0%,15.28
Haiti,0,126,0%,13.79
Bahrain,0,104,0%,10.62
Malaysia,0,104,0%,17.57
Indonesia,0,100,0%,24.8
Côte d’Ivoire,0,96,0%,27.04
Sudan,0,88,0%,8.44
Philippines,0,72,0%,31.4
Sweden,0,60,0%,9.38
Colombia,0,53,0%,14.58
Australia,0,51,0%,10.96
Palestine,0,47,0%,8.91
Singapore,0,46,0%,8.89
Greece,0,43,0%,17.79
Thailand,0,43,0%,32.21
Bangladesh,0,39,0%,23.18
