Date,Non indexées,Dans l'index,Impressions
2026-03-22,,,1565
2026-03-23,,,1838
2026-03-24,2428,1323,2122
2026-03-25,2420,1284,2156
2026-03-26,2420,1284,2106
2026-03-27,2420,1284,1827
2026-03-28,2420,1284,1253
2026-03-29,2441,1260,1387
2026-03-30,2441,1260,1502
2026-03-31,2441,1260,1348
2026-04-01,2480,1208,1513
2026-04-02,2480,1208,1322
2026-04-03,2480,1208,1299
2026-04-04,2480,1208,1225
2026-04-05,2504,1174,1290
2026-04-06,2504,1174,1269
2026-04-07,2684,1007,1279
2026-04-08,2684,1007,1216
2026-04-09,2684,1007,1403
2026-04-10,2684,1007,1279
2026-04-11,2744,951,1236
2026-04-12,2744,951,1372
2026-04-13,2744,951,1326
2026-04-14,2761,930,1646
2026-04-15,2761,930,1481
2026-04-16,2761,930,1289
2026-04-17,2761,930,1148
2026-04-18,2774,913,1329
2026-04-19,2774,913,1085
2026-04-20,2774,913,1285
2026-04-21,2771,910,1082
2026-04-22,2771,910,1162
2026-04-23,2771,910,979
2026-04-24,2771,910,1014
2026-04-25,2772,909,1079
2026-04-26,2772,909,947
2026-04-27,2772,909,1039
2026-04-28,2773,892,963
2026-04-29,2773,892,1144
2026-04-30,2773,892,895
2026-05-01,2773,892,820
2026-05-02,2773,852,944
2026-05-03,2773,852,952
2026-05-04,2773,852,970
2026-05-05,2806,814,1025
2026-05-06,2806,814,1087
2026-05-07,2806,814,1125
2026-05-08,2806,814,1100
2026-05-09,2857,782,1165
2026-05-10,2857,782,1133
2026-05-11,2857,782,1425
2026-05-12,2896,736,1416
2026-05-13,2896,736,1620
2026-05-14,2896,736,1450
2026-05-15,2896,736,1355
2026-05-16,2904,716,1398
2026-05-17,2904,716,1470
2026-05-18,2904,716,1674
2026-05-19,3000,782,1384
2026-05-20,3000,782,1434
2026-05-21,3000,782,1222
2026-05-22,3000,782,1173
2026-05-23,3236,793,1324
2026-05-24,3236,793,1137
2026-05-25,3236,793,1213
2026-05-26,3287,712,894
2026-05-27,3287,712,896
2026-05-28,3287,712,873
2026-05-29,3287,712,920
2026-05-30,3259,688,828
2026-05-31,3259,688,861
2026-06-01,3259,688,1051
2026-06-02,3254,662,941
2026-06-03,3254,662,1012
2026-06-04,3254,662,1032
2026-06-05,3254,662,842
2026-06-06,3247,653,898
2026-06-07,3247,653,1000
2026-06-08,3247,653,966
2026-06-09,3231,646,1005
2026-06-10,3231,646,1207
2026-06-11,3231,646,1119
2026-06-12,3231,646,1017
